#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
72,Big Time Sensuality - The Fluke Minimix,Björk,2001-10-04,117,79,64,-9,67,4:54,0,5
73,Home,Barbarossa,2015-05-11,135,60,57,-7,24,4:02,2,16
74,Baby,DakhaBrakha,2014-01-04,130,44,38,-8,41,7:24,57,34
75,I Believed,Malo',2017-02-03,108,82,61,-7,25,3:59,13,37
76,Polaroïd/Roman/Photo,Ruth,2010-11-22,114,66,78,-5,47,5:02,23,32
77,Orinoco Flow,Enya,2008-12-15,115,47,54,-11,40,3:29,89,21
78,Hymne à la Muse,Roberto Gerhard,2000,178,1,30,-33,22,1:00,97,2
79,Enae Volare Mezzo - Remix,ERA,2002-01-01,95,68,68,-9,62,3:47,4,33
80,Waiting for the Stars (feat. David Shaw),Vitalic,2016-10-21,116,68,69,-7,74,3:53,0,27
81,Only Oleanders,Hydrogen Sea,2014-03-31,89,51,49,-12,44,3:12,11,12
82,Caer,Buscabulla,2014-10-06,115,69,74,-10,91,3:10,11,35
83,Feather,Little Dragon,2009-08-17,97,83,66,-7,73,4:54,1,46
84,DJ Ease My Mind,Niki & The Dove,2010-11-02,128,54,61,-9,19,4:17,5,23
85,Beyond Paradise,Hypnolove,2013-04-22,106,68,70,-8,47,4:28,19,23
86,American Science,Austra,2014-07-08,100,27,69,-12,38,5:40,55,25
87,Antivirus,Olga Kouklaki,2012-03-05,118,72,68,-8,39,3:53,7,7
88,Faking Jazz Together (Michael Mayer Remix),Connan Mockasin,2011-09-12,124,66,82,-12,18,8:09,2,20
89,A Homeless Ghost,Console,2010-11-26,122,65,74,-10,55,5:41,16,33
90,Hans Is Driving (feat. Miss Kittin),Vitalic,2017-01-20,97,60,58,-9,49,4:34,3,35
91,Let Forever Be,The Chemical Brothers,1999-08-03,127,88,48,-4,45,3:56,1,23
92,Howling,RY X,2016-10-31,120,33,71,-14,12,5:10,17,45
93,Smile Mona Lisa,will.i.am,2013-01-01,102,38,78,-10,69,3:36,83,35
94,Signaux,The Pirouettes,2016-09-16,135,89,71,-6,85,3:53,6,27
95,Trustful Hands - Chi Thanh Remix,The Dø,2015-11-27,123,86,77,-7,52,6:06,1,10
96,White Elephant - Strange Fruit Remix,Ladytron,2014-01-21,113,73,51,-8,5,3:44,1,33
97,Five Minutes - Fells x Joziff Jordan Remix,Her,2017-01-13,100,53,59,-12,17,5:07,0,31
98,Château perdu,Clea Vincent,2014-09-08,100,64,69,-9,34,4:30,6,13
99,Retiens mon désir,Clea Vincent,2016-10-07,96,40,60,-8,58,4:21,44,24
100,Was Du nicht siehst,Barbara Morgenstern,2015-09-25,105,36,75,-11,18,4:02,1,8
101,I Need to Know,Nôze,2015-04-27,100,49,69,-13,27,4:33,4,15
102,Boys Like Us,Haussmann,2010-09-01,127,96,69,-8,56,4:38,1,28
103,Walk the Rain,Sneaker Pimps,1997,112,72,52,-8,13,5:00,6,8
104,Wow,Kate Bush,1978-11-13,124,25,38,-13,6,4:01,86,34
105,Dream in my head,Yael Naim,2015-03-16,73,39,33,-8,38,4:34,61,32
106,Wedding,POLIÇA,2016-01-21,176,90,54,-6,13,3:26,1,3
107,Choose the Heart - La Fine Equipe Remix,Madjo,2015,140,63,72,-7,38,4:17,30,32
108,My Licorne and Me,Poom,2013-05-27,120,54,75,-7,36,2:52,27,20
109,Méchant loup,Clea Vincent,2014-03-10,114,48,75,-9,57,4:01,50,23
110,Keep You Kimi,Hird,2004,110,47,60,-14,28,6:29,23,36
111,Duvan,Amason,2015-01-01,119,59,72,-8,62,3:55,24,25
112,Manueta,Hollydays,2015-08-24,115,64,76,-10,37,3:16,0,29
113,Pulsing,Tomas Barfod,2015-12-08,121,55,59,-12,20,3:14,15,5
114,Lovers In Paris,Jacob Gurevitsch,2016-10-21,90,32,62,-11,15,4:49,84,23
115,Madrid,Holden,2006,149,60,45,-10,88,4:08,21,26
